22.26,22.04,21.83,21.63,21.44,21.24,21.48,21.72,21.96,22.2,22.44,22.68,22.93
21.87,21.64,21.43,21.23,21.04,20.85,21.08,21.31,21.55,21.78,22.02,22.26,22.5
21.49,21.25,21.04,20.84,20.65,20.46,20.69,20.91,21.14,21.37,21.61,21.84,22.07
21.13,20.88,20.66,20.45,20.26,20.08,20.3,20.52,20.75,20.97,21.2,21.42,21.65
20.8,20.53,20.29,20.08,19.89,19.7,19.92,20.14,20.36,20.58,20.8,21.02,21.23
20.5,20.2,19.94,19.72,19.52,19.34,19.55,19.76,19.98,20.19,20.4,20.61,20.83
20.22,19.9,19.62,19.37,19.16,18.98,19.18,19.39,19.6,19.81,20.01,20.22,20.42
19.98,19.64,19.33,19.05,18.82,18.62,18.83,19.03,19.23,19.43,19.63,19.82,20.02
19.78,19.41,19.07,18.76,18.49,18.28,18.47,18.67,18.86,19.05,19.24,19.44,19.63
19.6,19.22,18.85,18.51,18.19,17.93,18.12,18.31,18.49,18.68,18.87,19.06,19.25
19.43,19.05,18.68,18.31,17.95,17.6,17.78,17.95,18.13,18.31,18.5,18.68,18.87
19.56,19.18,18.81,18.46,18.14,17.86,18.19,18.45,18.68,18.88,19.08,19.28,19.48
19.69,19.33,18.98,18.66,18.37,18.13,18.54,18.89,19.18,19.43,19.66,19.88,20.09
19.85,19.5,19.18,18.88,18.63,18.4,18.86,19.27,19.63,19.94,20.22,20.47,20.71
20.04,19.71,19.41,19.14,18.9,18.68,19.17,19.62,20.04,20.41,20.74,21.04,21.31
20.25,19.94,19.66,19.4,19.17,18.96,19.46,19.95,20.41,20.84,21.23,21.57,21.89
20.48,20.19,19.93,19.68,19.46,19.24,19.76,20.27,20.77,21.24,21.68,22.08,22.45
20.74,20.46,20.21,19.97,19.75,19.53,20.06,20.59,21.11,21.62,22.11,22.56,22.98
21.01,20.75,20.5,20.27,20.05,19.83,20.36,20.91,21.45,21.99,22.51,23.01,23.47
21.3,21.05,20.8,20.57,20.35,20.12,20.67,21.22,21.79,22.35,22.9,23.44,23.95
21.61,21.35,21.11,20.88,20.65,20.43,20.98,21.54,22.12,22.7,23.28,23.85,24.4
21.92,21.67,21.43,21.19,20.96,20.73,21.29,21.87,22.46,23.05,23.65,24.25,24.84
